"name","wins","years","classes","cars"
"Wendi Allen","8","[1996, 1998, 2001, 2004, 2006, 2007, 2008, 2012]","[e_stock_ladies, g_stock_ladies, h_stock_ladies]","[Dodge Neon, Honda Civic Si, MINI Cooper, MINI Cooper S, Mitsubishi Eclipse]"
"John Thomas","8","[1999, 2000, 2003, 2006, 2007, 2008, 2009, 2010]","[e_prepared, f_prepared]","[Datsun 240Z, Honda Civic]"
"Elliott Harvey","5","[1987, 1988, 1991, 1993, 1996]","[c_street_prepared]","[Datsun SRL-311, Datsun SRL311]"
"Danny Shields","4","[1988, 1993, 1994, 2000]","[d_stock, e_stock, g_stock]","[Mazda MX-6, Plymouth Neon, Volkswagen Jetta]"
"Phil Currin","3","[1988, 1995, 1997]","[b_street_prepared]","[Chevrolet Corvette]"
"Sharron Shields","3","[1999, 2000, 2002]","[a_prepared_ladies, h_stock_ladies]","[BMW 318is, Mazda MX-6, Porsche Boxster]"
"Michelle Quinn","3","[2015, 2016, 2017]","[f_modified_ladies]","[KBS Mk7]"
"Tracy Lewis","2","[2014, 2016]","[c_prepared_ladies]","[Ford Mustang]"
"Mike King","2","[2008, 2017]","[h_street, street_touring_sport]","[Ford Fiesta ST, Honda CRX Si]"
"Barbara Beecher","2","[2003, 2006]","[b_prepared_ladies, x_prepared_ladies]","[Porsche 911 RSR, Porsche 944T]"
"Mark Chiles Palm","2","[1991, 1997]","[d_stock]","[Dodge Neon, Nissan Sentra SE-R]"
"Linda Blevins","2","[1980, 1983]","[a_stock_ladies, e_stock_ladies]","[Lotus Europa, Volkswagen Rabbit]"
"Diane Thoman","2","[1979, 1985]","[a_stock_ladies]","[Porsche 911SC]"
"Darren Seltzer","2","[2013, 2014]","[f_modified]","[Raptor F500]"
"Ian Stewart","2","[2007, 2017]","[street_touring_roadster, super_street_r]","[Mazda MX-5 Miata, Porsche 911 GT3]"
"Randy Pobst","1","[1986]","[g_stock]","[Volkswagen Jetta]"
"Ken Rupp","1","[1977]","[f_stock]","[Ford Mustang]"
"Randy Pobst","1","[1983]","[e_stock]","[Volkswagen Rabbit]"
"David Marcus","1","[2015]","[street_touring_xtreme]","[Subaru BRZ]"
"Diane Austin","1","[2011]","[d_modified_ladies]","[Austin Mini]"
"William Johnson","1","[1985]","[d_modified]","[Lotus Super 7]"
"Gregory W Hahn","1","[2008]","[a_stock]","[Honda S2000]"
"Diane Wood Austin","1","[2009]","[d_modified_ladies]","[Austin Mini]"
"Jeff Altenburg","1","[1989]","[f_stock]","[Chevrolet IROC]"
"Christy Carlson","1","[2017]","[street_modified_ladies]","[Subaru Impreza]"
"Bryce Merideth","1","[2009]","[street_touring_xtreme]","[BMW 328is]"
"Kristen Rosenthal","1","[2017]","[b_street_prepared_ladies]","[Honda S2000]"
"Laura Campbell","1","[2017]","[street_touring_roadster_ladies]","[Mazda MX-5 Miata]"
"Steve Hoelscher","1","[2006]","[d_prepared]","[Toyota MR2]"
"Erik Strelnieks","1","[1995]","[e_stock]","[Dodge Neon]"
"Mark Allen","1","[1998]","[g_stock]","[Mitsubishi Eclipse]"
